,MagpieData minimum Number,MagpieData minimum MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData minimum MeltingT,MagpieData minimum Column,MagpieData minimum Row,MagpieData minimum CovalentRadius,MagpieData minimum Electronegativity,MagpieData minimum NsValence,MagpieData minimum NpValence,MagpieData minimum NdValence,MagpieData minimum NfValence,MagpieData minimum NValence,MagpieData minimum NsUnfilled,MagpieData minimum NpUnfilled,MagpieData minimum NUnfilled,MagpieData minimum GSvolume_pa,MagpieData minimum GSbandgap,MagpieData minimum SpaceGroupNumber,MagpieData maximum Number,MagpieData maximum MendeleevNumber,MagpieData maximum AtomicWeight,MagpieData maximum MeltingT,MagpieData maximum Column,MagpieData maximum Row,MagpieData maximum CovalentRadius,MagpieData maximum Electronegativity,MagpieData maximum NsValence,MagpieData maximum NpValence,MagpieData maximum NdValence,MagpieData maximum NfValence,MagpieData maximum NValence,MagpieData maximum NsUnfilled,MagpieData maximum NpUnfilled,MagpieData maximum NdUnfilled,MagpieData maximum NfUnfilled,MagpieData maximum NUnfilled,MagpieData maximum GSvolume_pa,MagpieData maximum GSbandgap,MagpieData maximum SpaceGroupNumber,MagpieData mean Number,MagpieData mean MendeleevNumber,MagpieData mean AtomicWeight,MagpieData mean MeltingT,MagpieData mean Column,MagpieData mean Row,MagpieData mean CovalentRadius,MagpieData mean Electronegativity,MagpieData mean NsValence,MagpieData mean NpValence,MagpieData mean NdValence,MagpieData mean NfValence,MagpieData mean NValence,MagpieData mean NsUnfilled,MagpieData mean NpUnfilled,MagpieData mean NdUnfilled,MagpieData mean NfUnfilled,MagpieData mean NUnfilled,MagpieData mean GSvolume_pa,MagpieData mean GSbandgap,MagpieData mean SpaceGroupNumber,space group,density,nsites,vpa
1390,3.0,1.0,6.941,429.75,1.0,2.0,120.0,0.98,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,16.5933333333,0.0,14.0,49.0,89.0,114.818,494.0,16.0,5.0,142.0,2.55,2.0,4.0,10.0,0.0,16.0,1.0,5.0,0.0,0.0,5.0,25.92,0.799,229.0,30.0,63.5,69.91975,467.86,11.5,3.75,127.5,1.9649999999999999,1.75,2.25,7.5,0.0,11.5,0.25,2.25,0.0,0.0,2.5,23.173333333325,0.3995,99.0,33,4.2530297498806195,16,27.29923918476336
1391,9.0,5.0,18.9984032,53.5,1.0,2.0,57.0,0.79,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.7075,0.0,15.0,55.0,93.0,132.9054519,1211.4,17.0,6.0,244.0,3.98,2.0,5.0,10.0,0.0,14.0,1.0,4.0,0.0,0.0,4.0,115.765,1.97,229.0,21.77777777777778,71.88888888888889,50.27125811111111,237.28666666666666,13.11111111111111,3.111111111111111,105.55555555555556,3.052222222222222,1.7777777777777777,3.5555555555555554,1.1111111111111112,0.0,6.444444444444445,0.2222222222222222,1.1111111111111112,0.0,0.0,1.3333333333333333,34.75333333333333,1.355888888888889,85.88888888888889,225,3.894137804202406,9,21.43668052284808
1392,47.0,65.0,107.8682,429.75,11.0,5.0,138.0,1.78,1.0,0.0,10.0,0.0,11.0,0.0,0.0,1.0,16.33,0.0,139.0,52.0,90.0,127.6,1234.93,16.0,5.0,145.0,2.1,2.0,4.0,10.0,0.0,16.0,1.0,5.0,0.0,0.0,5.0,34.7633333333,0.464,225.0,50.57142857142857,82.85714285714286,121.62558571428572,654.64,14.571428571428571,5.0,139.92857142857142,1.9735714285714288,1.9285714285714286,2.642857142857143,10.0,0.0,14.571428571428571,0.07142857142857142,2.9285714285714284,0.0,0.0,3.0,29.69547619045714,0.2651428571428572,152.57142857142858,111,5.499755749837344,14,36.72236473095217
1393,19.0,3.0,39.0983,301.59,1.0,4.0,139.0,0.79,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,31.56,0.0,166.0,55.0,85.0,132.9054519,903.78,15.0,6.0,244.0,2.05,2.0,3.0,10.0,0.0,15.0,1.0,3.0,0.0,0.0,3.0,115.765,0.0,229.0,36.0,24.0,83.215512975,469.60749999999996,4.5,4.75,197.25,1.1199999999999999,1.25,0.75,2.5,0.0,4.5,0.75,0.75,0.0,0.0,1.5,73.38458333335,0.0,213.25,225,3.290420830586038,4,41.99542166694093
1394,19.0,3.0,39.0983,265.8,1.0,4.0,120.0,0.82,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.02,0.0,64.0,78.0,95.0,195.084,2041.4,17.0,6.0,203.0,2.96,2.0,5.0,10.0,14.0,24.0,1.0,1.0,1.0,0.0,2.0,73.1066666667,1.457,229.0,36.22222222222222,71.0,83.63384444444445,478.8066666666667,12.666666666666666,4.222222222222222,140.22222222222223,2.408888888888889,1.6666666666666667,3.3333333333333335,7.666666666666667,1.5555555555555556,14.222222222222221,0.3333333333333333,0.6666666666666666,0.1111111111111111,0.0,1.1111111111111112,37.56814814815555,0.9713333333333334,118.55555555555556,225,4.232346831275917,9,32.813299931773386
1395,17.0,76.0,35.453,171.6,13.0,3.0,102.0,1.62,2.0,1.0,0.0,0.0,7.0,0.0,1.0,1.0,24.4975,0.0,64.0,81.0,94.0,204.3833,722.66,17.0,6.0,145.0,3.16,2.0,5.0,10.0,14.0,27.0,0.0,5.0,0.0,0.0,5.0,34.7633333333,2.493,194.0,35.111111111111114,89.55555555555556,83.23162222222221,322.91777777777776,16.0,3.888888888888889,115.55555555555556,2.7,2.0,4.0,3.3333333333333335,3.111111111111111,12.444444444444445,0.0,2.0,0.0,0.0,2.0,26.174259259255553,1.7135555555555555,102.66666666666667,225,4.456701372686942,9,31.011582046648627
1396,35.0,4.0,79.904,265.8,1.0,4.0,120.0,0.82,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,29.48,0.0,64.0,37.0,95.0,85.4678,312.46,17.0,5.0,220.0,2.96,2.0,5.0,10.0,0.0,17.0,1.0,1.0,0.0,0.0,1.0,90.7225,1.457,229.0,36.0,49.5,82.6859,289.13,9.0,4.5,170.0,1.89,1.5,2.5,5.0,0.0,9.0,0.5,0.5,0.0,0.0,1.0,60.10125,0.7285,146.5,221,3.7016797181948324,2,37.09212510528556
1397,17.0,3.0,35.453,171.6,1.0,3.0,102.0,0.82,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,24.4975,0.0,64.0,50.0,94.0,118.71,505.08,17.0,5.0,203.0,3.16,2.0,5.0,10.0,0.0,14.0,1.0,4.0,0.0,0.0,4.0,73.1066666667,2.493,229.0,21.11111111111111,72.22222222222223,45.513844444444445,245.3044444444444,13.11111111111111,3.4444444444444446,128.55555555555554,2.506666666666667,1.7777777777777777,3.5555555555555554,1.1111111111111112,0.0,6.444444444444445,0.2222222222222222,1.1111111111111112,0.0,0.0,1.3333333333333333,36.27592592593333,1.662,109.22222222222223,225,2.53496438987065,9,29.81403489262104
1398,11.0,2.0,22.98976928,370.87,1.0,3.0,105.0,0.93,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,25.786875,0.0,70.0,51.0,88.0,121.76,903.78,16.0,5.0,166.0,2.58,2.0,4.0,10.0,0.0,15.0,1.0,3.0,0.0,0.0,3.0,31.56,2.202,229.0,18.857142857142858,50.714285714285715,40.98918683428571,454.4957142857143,9.428571428571429,3.2857142857142856,136.0,1.7971428571428572,1.5714285714285714,2.142857142857143,1.4285714285714286,0.0,5.142857142857143,0.42857142857142855,1.2857142857142858,0.0,0.0,1.7142857142857142,28.092946428557145,0.9437142857142857,151.85714285714286,198,2.8746073073137315,28,23.677719691773316
1399,9.0,4.0,18.9984032,53.5,1.0,2.0,57.0,0.82,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.7075,0.0,15.0,80.0,93.0,200.59,312.46,17.0,6.0,220.0,3.98,2.0,5.0,10.0,14.0,26.0,1.0,1.0,0.0,0.0,1.0,90.7225,1.97,229.0,28.8,70.8,68.61060192,141.456,12.8,3.4,104.6,2.952,1.8,3.0,2.0,2.8,9.6,0.2,0.6,0.0,0.0,0.8,29.01651724138,1.182,88.0,221,5.756701494155631,5,19.790948859649326
