,MagpieData minimum Number,MagpieData minimum MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData minimum MeltingT,MagpieData minimum Column,MagpieData minimum Row,MagpieData minimum CovalentRadius,MagpieData minimum Electronegativity,MagpieData minimum NsValence,MagpieData minimum NpValence,MagpieData minimum NdValence,MagpieData minimum NfValence,MagpieData minimum NValence,MagpieData minimum NsUnfilled,MagpieData minimum NpUnfilled,MagpieData minimum NUnfilled,MagpieData minimum GSvolume_pa,MagpieData minimum GSbandgap,MagpieData minimum SpaceGroupNumber,MagpieData maximum Number,MagpieData maximum MendeleevNumber,MagpieData maximum AtomicWeight,MagpieData maximum MeltingT,MagpieData maximum Column,MagpieData maximum Row,MagpieData maximum CovalentRadius,MagpieData maximum Electronegativity,MagpieData maximum NsValence,MagpieData maximum NpValence,MagpieData maximum NdValence,MagpieData maximum NfValence,MagpieData maximum NValence,MagpieData maximum NsUnfilled,MagpieData maximum NpUnfilled,MagpieData maximum NdUnfilled,MagpieData maximum NfUnfilled,MagpieData maximum NUnfilled,MagpieData maximum GSvolume_pa,MagpieData maximum GSbandgap,MagpieData maximum SpaceGroupNumber,MagpieData mean Number,MagpieData mean MendeleevNumber,MagpieData mean AtomicWeight,MagpieData mean MeltingT,MagpieData mean Column,MagpieData mean Row,MagpieData mean CovalentRadius,MagpieData mean Electronegativity,MagpieData mean NsValence,MagpieData mean NpValence,MagpieData mean NdValence,MagpieData mean NfValence,MagpieData mean NValence,MagpieData mean NsUnfilled,MagpieData mean NpUnfilled,MagpieData mean NdUnfilled,MagpieData mean NfUnfilled,MagpieData mean NUnfilled,MagpieData mean GSvolume_pa,MagpieData mean GSbandgap,MagpieData mean SpaceGroupNumber,space group,density,nsites,vpa
52,31.0,74.0,69.723,302.91,13.0,4.0,122.0,1.81,2.0,1.0,10.0,0.0,13.0,0.0,3.0,3.0,18.8575,0.0,64.0,51.0,85.0,121.76,903.78,15.0,5.0,139.0,2.05,2.0,3.0,10.0,0.0,15.0,0.0,5.0,0.0,0.0,5.0,31.56,0.0,166.0,41.0,79.5,95.7415,603.345,14.0,4.5,130.5,1.93,2.0,2.0,10.0,0.0,14.0,0.0,4.0,0.0,0.0,4.0,25.208750000000002,0.0,115.0,216,5.287673763789086,2,30.06662440743297
53,34.0,50.0,78.96,494.0,6.0,4.0,120.0,2.16,1.0,0.0,5.0,0.0,6.0,0.0,0.0,2.0,15.69,0.0,14.0,42.0,89.0,95.96,2896.0,16.0,5.0,154.0,2.55,2.0,4.0,10.0,0.0,16.0,1.0,2.0,5.0,0.0,6.0,25.92,0.799,229.0,36.666666666666664,76.0,84.62666666666667,1294.6666666666667,12.666666666666666,4.333333333333333,131.33333333333334,2.42,1.6666666666666667,2.6666666666666665,8.333333333333334,0.0,12.666666666666666,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.0,3.3333333333333335,22.51,0.5326666666666667,85.66666666666667,164,4.300580707076999,12,32.67345165374109
54,34.0,51.0,78.96,494.0,6.0,4.0,120.0,2.36,2.0,0.0,4.0,0.0,16.0,0.0,0.0,2.0,16.05,0.0,14.0,74.0,89.0,183.84,3695.0,16.0,6.0,162.0,2.55,2.0,4.0,10.0,14.0,20.0,0.0,2.0,6.0,0.0,6.0,25.92,0.799,229.0,47.333333333333336,76.33333333333333,113.92,1561.0,12.666666666666666,4.666666666666667,134.0,2.4866666666666664,2.0,2.6666666666666665,8.0,4.666666666666667,17.333333333333332,0.0,1.3333333333333333,2.0,0.0,3.3333333333333335,22.63,0.5326666666666667,85.66666666666667,194,7.857112417956539,6,24.076098241225186
55,15.0,69.0,30.973762,317.3,12.0,3.0,107.0,1.65,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,13.96,0.0,2.0,32.0,83.0,72.64,1211.4,15.0,4.0,122.0,2.19,2.0,3.0,10.0,0.0,14.0,0.0,4.0,0.0,0.0,4.0,23.005,1.625,225.0,23.0,78.5,49.99188099999999,634.67,14.0,3.5,114.0,2.01,2.0,2.0,5.0,0.0,9.0,0.0,2.5,0.0,0.0,2.5,20.5263690476,0.90825,105.75,122,4.0438665315488285,8,20.531219236296554
56,6.0,48.0,12.0107,3290.0,5.0,2.0,76.0,1.5,2.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,5.64,0.0,194.0,73.0,77.0,180.94788,3823.0,14.0,6.0,170.0,2.55,2.0,2.0,3.0,14.0,19.0,0.0,4.0,7.0,0.0,7.0,18.12,4.496,229.0,39.5,62.5,96.47928999999999,3556.5,9.5,4.0,123.0,2.025,2.0,1.0,1.5,7.0,11.5,0.0,2.0,3.5,0.0,5.5,11.88,2.248,211.5,225,14.234280973849424,2,11.25505604794207
57,8.0,73.0,15.9994,54.8,13.0,2.0,66.0,1.61,2.0,1.0,0.0,0.0,3.0,0.0,2.0,2.0,9.105,0.0,12.0,13.0,87.0,26.9815386,933.47,16.0,3.0,121.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,5.0,16.48,0.0,225.0,10.0,81.4,20.39225544,406.26800000000003,14.8,2.4,88.0,2.708,2.0,2.8,0.0,0.0,4.8,0.0,3.2,0.0,0.0,3.2,12.055000000000001,0.0,97.2,167,3.8734983394693465,10,8.742003699644115
58,8.0,7.0,15.9994,54.8,2.0,2.0,66.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.105,0.0,12.0,20.0,87.0,40.078,1115.0,16.0,4.0,176.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,37.77,0.0,225.0,14.0,47.0,28.038700000000002,584.9,9.0,3.0,121.0,2.2199999999999998,2.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,23.4375,0.0,118.5,225,3.2866879644895124,2,14.166041081392711
59,33.0,75.0,74.9216,429.75,13.0,4.0,119.0,1.78,2.0,1.0,10.0,0.0,13.0,0.0,3.0,3.0,22.175,0.0,139.0,49.0,84.0,114.818,1090.0,15.0,5.0,142.0,2.18,2.0,3.0,10.0,0.0,15.0,0.0,5.0,0.0,0.0,5.0,24.26,0.0,166.0,41.0,79.5,94.8698,759.875,14.0,4.5,130.5,1.98,2.0,2.0,10.0,0.0,14.0,0.0,4.0,0.0,0.0,4.0,23.2175,0.0,152.5,216,5.335683811527306,2,29.524802200645254
60,8.0,61.0,15.9994,54.8,10.0,2.0,66.0,1.91,2.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,9.105,0.0,12.0,28.0,87.0,58.6934,1728.0,16.0,4.0,124.0,3.44,2.0,4.0,8.0,0.0,10.0,0.0,2.0,2.0,0.0,2.0,10.32,0.0,225.0,18.0,74.0,37.346399999999996,891.4,13.0,3.0,95.0,2.675,2.0,2.0,4.0,0.0,8.0,0.0,1.0,1.0,0.0,2.0,9.7125,0.0,118.5,225,6.617519556001579,4,9.371359717498269
61,6.0,47.0,12.0107,2750.0,5.0,2.0,76.0,1.6,1.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,5.64,0.0,194.0,41.0,77.0,92.90638,3823.0,14.0,5.0,164.0,2.55,2.0,2.0,4.0,0.0,5.0,1.0,4.0,6.0,0.0,7.0,18.18,4.496,229.0,23.5,62.0,52.45854,3286.5,9.5,3.5,120.0,2.075,1.5,1.0,2.0,0.0,4.5,0.5,2.0,3.0,0.0,5.5,11.91,2.248,211.5,225,7.616098778357742,2,11.43754270812939
62,1.0,1.0,1.00794,14.01,1.0,1.0,31.0,0.98,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6.615,0.0,194.0,3.0,92.0,6.941,453.69,1.0,2.0,128.0,2.2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,16.5933333333,7.853,229.0,2.0,46.5,3.97447,233.85,1.0,1.5,79.5,1.59,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,11.604166666649999,3.9265,211.5,225,0.824862688740225,2,8.001044045414659
63,6.0,46.0,12.0107,2183.0,5.0,2.0,76.0,1.63,2.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,5.64,0.0,194.0,23.0,77.0,50.9415,3823.0,14.0,4.0,153.0,2.55,2.0,2.0,3.0,0.0,5.0,0.0,4.0,7.0,0.0,7.0,13.01,4.496,229.0,14.5,61.5,31.4761,3003.0,9.5,3.0,114.5,2.09,2.0,1.0,1.5,0.0,4.5,0.0,2.0,3.5,0.0,5.5,9.325,2.248,211.5,225,5.80003584596311,2,9.01154667011013
64,49.0,75.0,114.818,429.75,13.0,5.0,139.0,1.78,2.0,1.0,10.0,0.0,13.0,0.0,3.0,3.0,24.26,0.0,139.0,51.0,85.0,121.76,903.78,15.0,5.0,142.0,2.05,2.0,3.0,10.0,0.0,15.0,0.0,5.0,0.0,0.0,5.0,31.56,0.0,166.0,50.0,80.0,118.289,666.765,14.0,5.0,140.5,1.915,2.0,2.0,10.0,0.0,14.0,0.0,4.0,0.0,0.0,4.0,27.91,0.0,152.5,216,5.38405945918659,2,36.482417614073405
65,7.0,11.0,14.0067,63.05,3.0,2.0,71.0,1.36,2.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,14.76875,0.0,194.0,21.0,82.0,44.955912,1814.0,15.0,4.0,170.0,3.04,2.0,3.0,1.0,0.0,5.0,0.0,3.0,9.0,0.0,9.0,22.235,6.437,194.0,14.0,46.5,29.481306,938.525,9.0,3.0,120.5,2.2,2.0,1.5,0.5,0.0,4.0,0.0,1.5,4.5,0.0,6.0,18.501875,3.2185,194.0,225,4.245782373273551,2,11.530233074486146
66,30.0,69.0,65.38,494.0,12.0,4.0,120.0,1.65,2.0,0.0,10.0,0.0,12.0,0.0,0.0,0.0,13.96,0.0,14.0,34.0,89.0,78.96,692.68,16.0,4.0,122.0,2.55,2.0,4.0,10.0,0.0,16.0,0.0,2.0,0.0,0.0,2.0,25.92,0.799,194.0,32.0,79.0,72.16999999999999,593.3399999999999,14.0,4.0,121.0,2.0999999999999996,2.0,2.0,10.0,0.0,14.0,0.0,1.0,0.0,0.0,1.0,19.94,0.3995,104.0,216,5.064263884449379,2,23.66882630683062
